Filename,Algorithm,Goal,Path Length,Nodes Explored,Execution Time (s),Total Nodes,Total Time (s),Directions
test_files\+shape.txt,DFS,"(4, 4)",11,21,,21,,D-D-D-D-R-R-R-U-R-D
test_files\+shape.txt,BFS,"(4, 4)",9,20,,20,,D-D-D-D-R-R-R-R
test_files\+shape.txt,CUS1,"(4, 4)",10,15,,15,,R-R-R-D-S-R-D-D-D
test_files\+shape.txt,GBFS,"(4, 4)",9,9,,9,,D-D-D-D-R-R-R-R
test_files\+shape.txt,AS,"(4, 4)",9,19,,19,,R-R-R-D-R-D-D-D
test_files\+shape.txt,CUS2,"(4, 4)",10,9,,9,,R-R-R-R-S-D-D-D-D
test_files\array.txt,DFS,"(8, 4)",45,53,,53,,U-U-U-U-R-R-D-D-D-D-D-D-D-D-D-R-R-U-U-U-U-U-U-U-U-U-R-R-D-D-D-D-D-D-D-D-D-R-R-U-U-U-U-U
test_files\array.txt,BFS,"(8, 4)",17,57,,57,,U-U-U-U-R-R-R-R-R-R-R-R-D-D-D-D
test_files\array.txt,CUS1,"(8, 4)",18,29,,29,,U-U-U-U-R-R-R-R-S-R-R-R-R-D-D-D-D
test_files\array.txt,GBFS,"(8, 4)",17,38,,38,,U-U-U-U-R-R-R-R-R-R-R-R-D-D-D-D
test_files\array.txt,AS,"(8, 4)",17,33,,33,,U-U-U-U-R-R-R-R-R-R-R-R-D-D-D-D
test_files\array.txt,CUS2,"(8, 4)",18,22,,22,,U-U-U-U-R-R-R-R-S-R-R-R-R-D-D-D-D
test_files\complexmap.txt,DFS,"(19, 19)",59,61,,61,,D-R-R-R-R-R-D-R-D-D-L-L-L-U-L-L-L-D-D-D-D-D-D-D-D-D-D-R-U-R-R-D-D-D-D-D-D-L-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-U-R-D-R
test_files\complexmap.txt,BFS,"(19, 19)",47,169,,169,,D-R-R-R-R-R-D-R-D-D-D-D-D-D-R-D-D-L-L-D-D-L-L-D-D-D-D-D-D-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R
test_files\complexmap.txt,CUS1,"(19, 19)",48,90,,90,,D-R-R-R-R-R-D-R-D-D-D-D-D-D-R-D-D-L-L-S-D-D-L-L-D-D-D-D-D-D-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R
test_files\complexmap.txt,GBFS,"(19, 19)",65,98,,98,,D-R-R-R-R-R-D-R-D-D-D-D-D-D-R-D-D-R-R-D-D-D-R-R-R-R-R-R-R-D-D-L-L-L-L-L-L-L-L-D-D-L-L-L-L-L-D-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R
test_files\complexmap.txt,AS,"(19, 19)",47,141,,141,,D-R-R-R-R-R-D-R-D-D-D-D-D-D-R-D-D-L-L-D-D-L-L-D-D-D-D-D-D-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R
test_files\complexmap.txt,CUS2,"(19, 19)",50,54,,54,,D-R-R-R-R-R-D-R-D-D-D-D-D-D-R-D-D-L-L-D-D-L-S-L-D-D-D-D-D-D-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-U-R-R-D
test_files\dot.txt,DFS,"(0, 0)",9,9,,9,,U-U-U-U-L-L-L-L
test_files\dot.txt,BFS,"(0, 0)",9,24,,24,,U-U-U-U-L-L-L-L
test_files\dot.txt,CUS1,"(0, 0)",10,17,,17,,U-L-L-L-S-L-U-U-U
test_files\dot.txt,GBFS,"(0, 0)",9,9,,9,,U-U-U-U-L-L-L-L
test_files\dot.txt,AS,"(0, 0)",9,9,,9,,U-U-U-U-L-L-L-L
test_files\dot.txt,CUS2,"(0, 0)",10,10,,10,,U-U-U-L-L-S-L-L-U
test_files\dotdot.txt,DFS,"(4, 1)",9,11,,11,,U-R-R-D-D-R-R-U
test_files\dotdot.txt,BFS,"(4, 1)",7,13,,13,,U-R-R-R-R-D
test_files\dotdot.txt,CUS1,"(4, 1)",8,8,,8,,U-R-R-S-R-R-D
test_files\dotdot.txt,GBFS,"(4, 1)",7,8,,8,,U-R-R-R-R-D
test_files\dotdot.txt,AS,"(4, 1)",7,12,,12,,U-R-R-R-R-D
test_files\dotdot.txt,CUS2,"(4, 1)",8,6,,6,,U-R-R-S-R-R-D
test_files\halfcomplexmap.txt,DFS,"(0, 0)",30,39,,39,,R-R-D-D-D-D-L-L-L-L-U-L-L-L-L-L-L-L-L-L-U-U-L-L-L-L-L-L-U
test_files\halfcomplexmap.txt,BFS,"(0, 0)",30,81,,81,,R-R-D-D-D-D-L-L-L-L-U-L-L-L-L-L-L-L-L-L-U-U-L-L-L-L-L-L-U
test_files\halfcomplexmap.txt,CUS1,"(0, 0)",31,49,,49,,R-R-D-D-D-D-L-L-L-L-U-L-L-L-L-L-S-L-L-L-L-U-L-U-L-L-L-L-L-U
test_files\halfcomplexmap.txt,GBFS,"(0, 0)",30,36,,36,,R-R-D-D-D-D-L-L-L-L-U-L-L-L-L-L-L-L-L-L-U-U-L-L-L-L-L-L-U
test_files\halfcomplexmap.txt,AS,"(0, 0)",30,36,,36,,R-R-D-D-D-D-L-L-L-L-U-L-L-L-L-L-L-L-L-L-U-U-L-L-L-L-L-L-U
test_files\halfcomplexmap.txt,CUS2,"(0, 0)",31,33,,33,,R-R-D-D-D-D-L-L-L-L-U-L-L-L-L-L-S-L-L-L-L-U-U-L-L-L-L-L-L-U
test_files\invalid.txt,DFS,"(2, 2)",0,37,,37,,N/A
